,SENDER,MESSAGE
0,3022850,https://www.linkedin.com/posts/jasper-blues-7781638_python-neo4j-graphdatabase-activity-6775652486092062720-i8YN
1,181071157,https://www.youtube.com/watch?v=AKHa-0Kvp-k
2,181071157,"Di sebabkan x ramai local talent & ramai dibuang kerja, boleh la belajar daripada saya. Kita target belajar web scraping menggunakan Python & BeautifulSoup. 
Live streaming ni sesuai untuk night owl macam saya. Yang early bird boleh tengok lagi ulangan pada hari keesokannya.

Prerequisite
Python 3.9
Jupyter Notebook

Good luck!!!

P.S: Kalau ada sambutan bagus video ini, saya akan ajar macam mana nak deploy ke dalam Azure Function.

https://www.youtube.com/watch?v=_o16hVrRXXE"
3,1832162,https://twitter.com/jedwardkats/status/1307892308965076993?s=21
4,3223821,"**Job Role**
`Senior Python Developer`

**Job Details**
🇫🇮 `Finland`
Remote: `No`
Type: `Permanent`
Experience Level: `Senior`
Technologies: `Python, Grafana, Prometheus, Influxdata`
Company: `MoVal`

**Job Description & Requirements**
MoVal is a Finnish services company providing high-level IT expertise combined with business area-specific know-how which was founded in 2015. The company helps with project management, software development and deployment, cloud development etc.

Right now, Moval is looking for an experienced Python Developer, a specialist in the field of monitoring technologies to join a customer's cloud project (the name of the customer is under NDA) in the Telecommunications sphere. 

Must have skills:

1. Strong experience of following technologies/products: 
  - Python;
  - Postgres DB;
  - Prometheus;
  - Grafana;
  - Vault (Hashicorp);
  - Netbox;
  - Influxdata (Influxdb, Kapacitor, Telegraf);
2. Experience with Terraform; Kubernetes, Docker; AWS, Azure
3. Strong knowledge of English

[🌐 Website](https://www.toughbyte.com/positions/finland/helsinki/senior-python-developer-701?utm_campaign=azovtseva&utm_medium=recruiter&utm_source=email)
#finland #python"
5,3873506,#python #flask
6,143071979,"Pyxel, a retro game development environment in Python.

#tools #game #python
@thedevs

https://kutt.it/vUDMzQ"
7,2458717,masa bila parameter ketiga (step) dalam substring tu nak digunakan eh? sebab saya tak nampak di mana nak perlu guna. #python
8,245351761,"How to scrape websites with Python and BeautifulSoup.

#article #tutorial #python
@thedevs

https://goo.gl/CJYYcR"
9,3873506,https://twitter.com/gp_pulipaka/status/856726008380235776
10,3873506,#python
