,SENDER,MESSAGE
0,-1001474635205,"(5/5)                                        
21 June 2023       U.S.               🇺🇸

**▫️'The absolute embodiment of evil': Man sentenced in Yates County child sex trafficking bust
**Penn Yan, N.Y. — The man at the center of a sex trafficking investigation that led to 18 arrests across the Southern Tier learned his fate in court Tuesday morning. Andrew Daugherty, 49, of Dundee, will serve 40 years to life in a maximum security prison for sexually exploiting a child over the course of seven years. Prosecutors determined he profited from the child's prostitution through force or intimidation, command her to engage in sexual activity with his friends and acquaintances, while using or threatening to use a .22 caliber rifle.
https://13wham.com/news/local/man-gets-40-years-to-life-in-prison-in-yates-county-sex-trafficking-bust

**▫️Oregon church leader gets 13 years in long-running child sex abuse case
**An Oregon alternative church leader who has been convicted three times of sexually abusing the daughter of one of his congregants was sentenced Tuesday to 13 years and four months in state prison. It’s been more than 25 years since seven women and girls first told Portland police that they were sexually abused by Michael G. Sperou and described how he transformed an insular Christian church in Southeast Portland into a cult of personality. “__The defendant was not just grooming the children; he was grooming the church,__” Multnomah County Deputy District Attorney Chuck Mickley said.
https://www.oregonlive.com/crime/2023/06/oregon-church-leader-gets-13-years-in-long-running-child-sex-abuse-case.html

**▫️Retired New Orleans priest admitted to molesting teens two decades ago, report finds
**Archbishop Gregory Aymond knew of nine allegations facing disgraced priest Lawrence Hecker in 2012. The church didn’t out him as a sexual predator until six years later. A retired Catholic priest who worked in about a dozen New Orleans-area parishes admitted to his superiors more than 20 years ago that he had molested seven teenagers he met on the job, but he was allowed to continue working and never faced criminal charges, according to an investigation published Tuesday by The Guardian.
https://www.bishop-accountability.org/2023/06/retired-new-orleans-priest-admitted-to-molesting-teens-two-decades-ago-report-finds/
_____________________
More Arrest Updates:
[HSI/ICE Newsroom Child Exploitation 
](https://www.ice.gov/newsroom?field_news_release_topics_tag_target_id=All&field_field_location_administrative_area=All&field_published_date_value%5Bmin%5D=&field_published_date_value%5Bmax%5D=&combine=Child+Exploitation&field_field_location_country_code=All)[FBI Arrests & Violent Crimes Against Children News
](https://www.fbi.gov/investigate/violent-crime/vcac/violent-crimes-against-children-news)[Department of Justice Press Room Human Trafficking News

](https://www.justice.gov/humantrafficking/press-room)- - - -N-E-E-D- -H-E-L-P-?- - -US:- - - - - - - - - - - - - - - - - - -
NCMEC Urgent victim help  24-Hour Hotline:  1-800-843-5678
NCMEC Cybertiplines: https://report.cybertip.org/
National Human Trafficking Hotline: 888-373-7888 or humantraffickinghotline.org
! Warning: multiple sources report the two helplines mentioned above are partially funded by questionable foundations !
HSI/ICE toll-free hotline: 1-866-DHS-2-ICE  | Anonymous toll-free ICE Tip Line: (866) 347-2423   |   Tip Form
U.S. Marshals Service:  USMS Tips app
DHS:  https://www.dhs.gov/blue-campaign/identify-victim
Get Help Now: Survivors Network of those Abused by Priests (SNAP) Toll-Free Phone: 1-877-SNAP-HEALS (1-877-762-7432)    or
https://www.snapnetwork.org/need_help_now
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    @ENDHUMANTRAFFICKING"
1,-1001474635205,"(4/5)                                        
21 June 2023       U.S.               🇺🇸

**▫️Three child sexual assault cases solved in San Antonio through DNA database and confession
**SAN ANTONIO - Three sexual assault cases against children have been uncovered after two cases were linked to a DNA database and one suspect gave his confession. A briefing on Tuesday from Sheriff Salazar with The Bexar County Sherrif's Office shared that three men were arrested and are facing charges for three separate sexual assault of a child case.
https://foxsanantonio.com/newsletter-daily/three-child-sexual-assault-cases-solved-in-san-antonio-through-dna-database-and-confession-crime-community-police-bexar-county-safety-trafficking

**▫️Paragould man facing multiple rape charges
**PARAGOULD, Ark. - A judge found probable cause recently to charge a Paragould man with multiple sex crimes. John Lang, 31, is being held at the Greene County Detention Center on two counts of rape and four counts of sexual assault in the 2nd degree. On June 4, the Paragould Police Department notified the Arkansas Department of Human Services regarding several girls coming forward about sexual abuse.
» https://www.kait8.com/2023/06/20/paragould-man-facing-multiple-rape-charges/
» https://katv.com/news/local/arkansas-man-charged-with-2-counts-of-rape-4-counts-of-sexual-assault-john-lang-department-of-human-services-paragould-police-crimes-against-children-division-sex-crime-young-children-four-victims-greene-county-northeast-authorities-officers-sexual-acts

**▫️Man Accused Of Sexually Abusing 10-Year-Old, Fathering Child, On Trial This Week
**NEW BOSTON, Texas–A Texarkana man accused of fathering a child with a girl he began sexually abusing when she was 10 and he was 38 is on trial this week at the Bowie County courthouse. Christopher Darrell Brown, 46, is charged with the continuous sexual abuse of a child under 14 as well as five counts of sexual assault of a child.
https://txktoday.com/crime/man-accused-of-sexually-abusing-10-year-old-fathering-child-on-trial-this-week/

**▫️Tyler Schwab Of Afton Dedicates Life To Rescuing Sex-Trafficked Girls
**Growing up in Afton, Wyoming, Schwab had never been exposed to the seedier side of sex tourism. He was introduced to it as a 19-year-old while on a two-year mission in the Dominican Republic for the Church of Jesus Christ of Latter-day Saints. Once there, he noticed quite a few young women in the company of older men. At first, he was judgmental about the women’s motives. He thought they either had to be promiscuous or gold diggers. Schwab, who has a bachelor’s degree in health care administration and an MBA from the University of Wyoming, as well as additional certification in human trafficking, has worked for Operation Underground Railroad and the Make-A-Wish America foundation. Today at age 33, Schwab is active in the nonprofit, which has expanded in scope.
https://cowboystatedaily.com/2023/06/18/cowboy-state-people-tyler-schwab-of-afton-wyoming-dedicates-life-to-rescuing-sex-trafficked-girls/

    @ENDHUMANTRAFFICKING"
2,-1001474635205,"(3/5)                                        
21 June 2023       U.S.               🇺🇸

**▫️Video Allegedly Shows Woman Luring 4-Year-Old Boy While Pretending to Be CPS Worker
**CINCINNATI — Police arrested a woman accused of trying to lure a 4-year-old boy from his home. Lisa Nacrelli, 44, was arrested and charged with child enticement after a Norwood family said she tried to get their son to come home with her.
» https://youtu.be/PsGVbFhllGc         (VIDEO)
» https://breaking911.com/video-allegedly-shows-woman-luring-4-year-old-boy-while-pretending-to-be-cps-worker/

**▫️Texas man wanted for sexual offenses arrested in Leeds
**LEEDS, Ala. — A Texas man wanted on sex-related offenses was arrested in Leeds last Monday. The Leeds Police Department said Christopher W. Royal was taken into custody in the 1700 block of Dorrough Avenue for outstanding felony warrants.
https://abc3340.com/news/local/alabama-jefferson-county-leeds-police-department-texas-man-arrested-sexual-offense-warrants-christopher-w-royal-mugshot-dorrough-avenue

**▫️Ex-Mount Saint Joseph High School wrestling coach to stand trial
**A former head wrestling coach of Mount Saint Joseph High School who was the only person indicted in the Maryland attorney general’s investigation into child sexual abuse and cover-ups within the Archdiocese of Baltimore is set to stand trial this week on charges that he groomed and assaulted a teen. Neil Adleberg, 75, of Reisterstown, who prosecutors said served as the head wrestling coach in the 1970s and returned as an assistant wrestling coach for the 2014-15 season, is charged with six counts, including sexual abuse of a minor.
» https://www.thebaltimorebanner.com/community/criminal-justice/neil-adelberg-mount-saint-joseph-high-school-abuse-trial-ZRR3MV4S5FGTJHRMVPHF3GVUOI/
» https://www.bishop-accountability.org/2023/06/ex-mount-saint-joseph-high-school-wrestling-coach-to-stand-trial-in-sex-abuse-case/

**▫️3 arrests made in child exploitation investigation in Jackson County
**Three men have been arrested in relation to a child exploitation investigation that began in March 2023 in Jackson County, Missouri, according to the Missouri State Highway Patrol. The three men allegedly met with a juvenile female from Grain valley, Missouri, on separate occasions and engaged in sexual acts, according to MSHP. The Missouri state Highway Patrol's Division of Drug and Crime Control/Digital Forensic Investigation Unit began to assist the Grain Valley Police Department on March 6, 2023, with an investigation into a missing juvenile female.
https://www.newsbreak.com/grain-valley-mo/3065591089663-3-arrests-made-in-child-exploitation-investigation-in-jackson-county

    @ENDHUMANTRAFFICKING"
3,-1001474635205,"(2/5)                                        
21 June 2023       U.S.               🇺🇸

**▫️Deputies rescue woman kidnapped at gunpoint
**STANISLAUS COUNTY, California – A sheriff’s department in California is sharing details about the rescue of a mother who was kidnapped at gunpoint. According to the Stanislaus County Sheriff’s Office, deputies responded to a 911 call from a 12-year-old boy who told investigators the “father of his little brother” had a gun and was “trying to kill” his mom.  The suspect, identified as 22-year-old Angel Primitivo Garcia, was seen holding the woman in a car. In a dramatic intervention, deputies negotiated with Garcia until he released the woman, and he was taken into custody.
» https://youtu.be/zusEdf6pJoY       (VIDEO)
» https://fox8.com/news/deputies-rescue-woman-kidnapped-at-gunpoint/

**▫️Vigilantes arrange sex crimes sting operation in Lafayette
**A St. Martinville man was arrested on charges of criminal sexual behavior Monday night after a vigilante group posed online as a juvenile girl and arranged a meet up in Lafayette, the Lafayette Police Department said. Lafayette police officers responded to a disturbance call in the 200 block of Terminal Drive around 9 p.m. Monday and learned members of an organization called Predator Poachers had posed online as a 12-year-old girl and planned a meet up with a subject, Cpl. Kenderis Handy said in a statement. The subject, 46-year-old Jerry Case Jr. of St. Martinville, arrived at the Lafayette Regional Airport to meet the juvenile girl he believed he was communicating with online.
» https://www.theadvocate.com/acadiana/news/crime_police/vigilantes-arrange-sex-crimes-sting-operation-in-lafayette/article_94593226-0f83-11ee-973d-2f71de66ccc9.html
» https://kpel965.com/st-martinville-man-arrested-in-child-predator-sting-in-lafayette-louisiana/

**▫️Upstate man arrested on child sex abuse charges
**GREENVILLE, S.C.  – The South Carolina Attorney General’s Office said that a man was arrested on sexual abuse charges on Thursday, June 15th. According to the attorney general’s office, investigators received a cyber tip line report from the National Center for Missing and Exploited Children (NCMEC) which led them to the suspect. Investigators said that Walter Stokes Hunter, 70, of Greenville, possessed files of child sexual abuse material.  Hunter was charged with 10 counts of sexual exploitation of a minor third-degree, a felony offense punishable by up to 10 years imprisonment on each count.
https://www.wspa.com/news/local-news/upstate-man-arrested-on-child-sex-abuse-charges/

**▫️Duo jailed in Lubbock, accused of sex trafficking a minor between Texas and New Mexico
**LUBBOCK, Texas — Two people were jailed in Lubbock and accused of traveling across state lines with the intention of trafficking a child for prostitution, according to federal court documents obtained by EverythingLubbock.com on Tuesday. Sarah Gonzales, 25, and Jaelind Fountaine, 26, were both arrested on June 15. Federal court records said the two conspired to transport and solicit a child under the age of 18-years-old to “engage in a commercial sex act.” This happened in Texas and New Mexico from January 15 to March 5, according to court documents.
https://www.bigcountryhomepage.com/news/report-duo-jailed-in-lubbock-accused-of-sex-trafficking-minor-in-abilene/

    @ENDHUMANTRAFFICKING"
4,-1001474635205,"(3/3)
21 June 2023       Global                 🌎

**▫️PJ police chief describes “truly frightening” increase in child sex abuse complaints
**Portugal’s deputy director of the PJ Judicial police, Carlos Farinha, has revealed that his service is faced with roughly 500 new cases of child sex abuse every three months – a reality he admits to be “truly frightening”.
https://www.portugalresident.com/pj-police-chief-describes-truly-frightening-increase-in-child-sex-abuse-complaints/

▫️Finland: **A 22-year-old man was sentenced to seven years in prison at the Vaasa Court of Appeal for aggravated child rape
**https://www.iltalehti.fi/kotimaa/a/20e2f923-85fe-4ee6-96a4-6199a21ab377

**▫️**Finland**:The stepfather started his atrocities when the girl was only 11 years old - the creepy truth was revealed in the cell phone videos
**The district court of PÄIJÄT-HÄME has sentenced a 49-year-old man from Lahti to 3 years and 6 months in prison for several sexual crimes. The man's victim was his spouse's daughter, who was between 11 and 14 years old at the time of the crimes. In addition to the prison sentence, the man was ordered to pay compensation of 25,000 euros to his daughter and 1,500 euros to her boyfriend.
https://www.is.fi/kotimaa/art-2000009665829.html

**▫️Anastazja Kos: 32-year-old suspect in custody for kidnapping
**The 32-year-old man from Bangladesh, who is accused of kidnapping 27-year-old Polish national Anastazja Rubinski on the island of Kos remanded in custody after a two-hour testimony on Wednesday. Hotel worker Anastazjia went missing on Monday and was found dead on Sunday afternoon in the Alykes area.
https://www.keeptalkinggreece.com/2023/06/21/anastazja-kos-32-year-old-suspect-in-custody-testimony-on/


- - - - - - - - - N-E-E-D- -H-E-L-P-?- - - - -🌍 - - - - - -
Human Trafficking Hotline Numbers: https://www.abolishion.org/human_trafficking_hotline_numbers
Human Trafficking Help and Resources: https://trafficking.help/us/#countries
Child Helpline Network: https://www.childhelplineinternational.org/child-helplines/child-helpline-network/
List of emergency telephone numbers: https://en.wikipedia.org/wiki/List_of_emergency_telephone_numbers
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Europol tipline Tel.:  +31 70 302 5000 | https://www.europol.europa.eu/report-a-crime
US-NCMEC Urgent victim help  24-Hour Hotline:  1-800-843-5678    
Contact Interpol:  https://www.interpol.int/Contacts/Contact-INTERPOL
https://www.interpol.int/What-you-can-do/If-you-need-help
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    @ENDHUMANTRAFFICKING"
5,-1001474635205,"(2/2)
20 June Czechoslovakia 🇨🇿🇸🇰

▫️**EXTRAORDINARY SEARCH! Two young GIRLS disappeared without a trace**: People, help find them
GALANTA/ŽILINA – Rescue system Slovakia and the police are searching for two young girls. If you have seen them, call 158 immediately.
https://trnava.zoznam.sk/mimoriadne-patranie-dve-mlade-dievcata-zmizli-bez-stopy-ludia-pomozte-ich-najst/

▫️**Newly published research has shown that Instagram's recommendation algorithms link and support accounts that share and sell child sexual abuse content.
**https://casopisargument.cz/?p=50865

▫️**Perhaps all cases of child abuse involve grooming, the psychologist claims
**Sexual abuse of children is a serious global problem, the consequences of which fall not only on the victims themselves, but also on their families and society as a whole. According to scientists, in most cases it is preceded by grooming – if it can be detected and stopped, the crime does not have to happen at all.
https://www.flowee.cz/clovek/11770-snad-vsechny-pripady-zneuzivani-deti-zahrnuji-grooming-tvrdi-psycholozka

- - - -N-E-E-D- -H-E-L-P-?- - -Czechoslovakia 🇨🇿🇸🇰:- - - - - - - - - - - - - - -
Urgent: police 158 or city police 159 | non-urgent: 112 

- IOM Česká republika Tel.: +420 233 370 160 mobil:+420 775 965 573 E-mail: pkarban@iom.int ; prague@iom.int

Odbor prevence kriminality MV
gestor „Programu podpory a ochrany obětí obchodování s lidmi MV ČR“
Tel.: +420 974 832 574, +420 974 833 232, mobil: +420 603 190 465
E-mail: olga.sifferova@mvcr.cz, barbora.holusova@mvcr.cz

Odbor bezpečnostní politiky MV
koordinace boje proti obchodování s lidmi na národní úrovni
Tel.: +420 974 832 284, +420 974 832 336
E-mail: sarka.mostlova@mvcr.cz, jana.mensikova@mvcr.cz  
Internet: www.mvcr.cz

Slovenská republika National Human Trafficking Helpline:
národná linka Pomoci obchodovania s ľuďmi:
telefonický kontakt: 0800 800 818 zo zahraničia: 004212/112 a kontaktujte políciu v SR   
Internet: www.minv.sk
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    @ENDHUMANTRAFFICKING"
6,-1001474635205,"(1/2)
20 June Czechoslovakia 🇨🇿🇸🇰

▫️**A PEDOPHILE escaped from psychiatry: He can be DANGEROUS!
**SLOVAKIA – A pedophile escaped from a Czech psychiatric hospital, not far from Slovakia. It can also move in Slovakia! Czech police officers are looking for 23-year-old Jan Šustáček, who escaped from a psychiatric hospital in Brno. The young man has pedophile tendencies, the portal tn.cz pointed out. The police have been searching for the young man since Monday. He escaped from the closed ward of a psychiatric hospital, where he was undergoing sexological treatment for his pedophile tendencies.
https://bratislava.zoznam.sk/z-psychiatrie-usiel-pedofil-moze-byt-nebezpecny/

▫️**A man from Ostrava abused minor boys for over 20 years, the police are looking for more victims
**The leader of the leisure section in Ostrava had been raping boys for the past twenty years. The police are looking for other victims and possible witnesses.  The free line of the Police of the Czech Republic 158 works around the clock.
» https://tydenikpolicie.cz/vedouci-z-volnocasoveho-oddilu-v-ostrave-mel-poslednich-dvacet-let-znasilnovat-chlapce-policiste-hledaji-dalsi-poskozene-i-pripadne-svedky/
» https://moravskoslezsky.denik.cz/zpravy_region/vedouci-oddilu-z-ostravy-zneuzival-nezletile-chlapce-20230613.html

▫️**The Danish sect took root in Bohemia. Facing accusations of child abuse, the police are interested in the group
**The Czech police are interested in the controversial Danish religious movement House of the Father. Its representatives moved to the north of Bohemia a few years ago. In his home country, he faces allegations of humiliation and physical violence against children. But they themselves call it slander.
https://cnn.iprima.cz/danska-sekta-zakotvila-v-cechach-o-skupinu-se-zajima-policie-celi-obvineni-ze-zneuzivani-deti-353470

▫️**Police officers in the Nitra Region have uncovered 22 migrant smugglers this year
**NITRA – Police officers in the Nitra Region continue to control illegal migration in the territory of the region. This year alone, they detected 22 smugglers and carried out six cross-border pursuits related to secondary migration. ""There was no worsening of the security situation in the Nitra Region, and the measures implemented in the area of secondary migration do not affect the fulfillment of the legal tasks of the Police Force,"" the Regional Directorate of the Police Force (KR PZ) in Nitra assessed the situation.
https://nitra.zoznam.sk/policajti-v-nitrianskom-kraji-odhalili-v-tomto-roku-22-prevadzacov-migrantov/

▫️**This year, the police arrested 23 illegal migrants and caught 5 smugglers
**Twenty-three illegal migrants, mainly from Syria, have already been detained this year by the police during random checks in the border areas of the Zlín region. They also caught five traffickers. Regional police spokeswoman Simona Kyšnerová told the newspaper.
» https://www.regionvalassko.cz/letos-policiste-ve-zlinskem-kraji-zajistili-23-nelegalnich-migrantu-a-dopadli-5-prevadecu/
» https://zlinsky.denik.cz/zlociny-a-soudy/zlinsky-kraj-policie-migrace-syrie-prevadeci-hranice-cesko-slovensko.html

▫️VIDEO: **Persecution in Břeclav. There were ten people in the car, the trafficker was handcuffed
**Since the beginning of June, patrols in South Moravia have detained fifty-four illegal refugees. It is only one less than in the entire previous month. Five people are responsible for the crime of fraud in June.
https://breclavsky.denik.cz/zlociny-a-soudy/migranti-breclav-policie-pronasledovani-zasah-deset-lidi-v-aute-syrie-video.html

    @ENDHUMANTRAFFICKING"
7,-1001474635205,"🇺🇸   **Ex-CNN Producer Sentenced To Nearly 20 Years In Prison For Luring, Sexually Abusing Child

**VERMONT – A former CNN producer has received a 19-year prison sentence for committing child sex crimes in Vermont. John Griffin, aged 45, entered a plea agreement in December, confessing to connecting with a woman through a website and coercing her to bring her nine-year-old daughter to Ludlow for illicit sexual acts.

In exchange for his plea, the government dropped two additional charges of enticing a minor.

According to the indictment: From April to July of 2020, Griffin utilized the messaging applications Kik and Google Hangouts to communicate with people purporting to be parents of minor daughters, conveying to them, among other ideas, that a “woman is a woman regardless of her age,” and that women should be sexually subservient and inferior to men.

On these communication platforms, Griffin sought to persuade parents to allow him to train their daughters to be sexually submissive.

» https://youtu.be/Iwg51uZ8lG8
» https://breaking911.com/breaking-ex-cnn-producer-sentenced-to-nearly-20-years-in-prison-for-luring-sexually-abusing-child/

    @ENDHUMANTRAFFICKING"
8,-1001474635205,"(4/4)                                        
20 June 2023       U.S.             🇺🇸

**▫️CBP officers arrest man attempting to smuggle a child on Father’s Day at the Pharr International Bridge
**On June 18, 2023, CBP officers assigned to the Pharr International Bridge encountered a 49-year-old U.S. citizen man who presented a minor female child as his own daughter, presenting a U.S. birth certificate for her. During the examination, CBP officers discovered that the minor was not related to him, and the birth certificate, while legitimate, did not belong to the minor. The minor was not a U.S. citizen, and she did not possess valid entry documents. CBP OFO arrested the man for alleged violation of U.S. immigration law.
https://www.cbp.gov/newsroom/local-media-release/cbp-officers-arrest-man-attempting-smuggle-child-father-s-day-pharr

**▫️Missionary Sentenced 25 Years for Abuse of 4-Year-Old Who Got STD
**A former Baptist missionary from Iowa has been sentenced to 25 years in prison for sexually abusing a 4-year-old who tested positive for gonorrhea. Jordan Webb, a 31-year-old former missionary to the Caribbean country of St. Lucia, will be required to serve at least 17.5 years in prison, or 70 percent of his term, before being eligible for parole, The Messenger reported. Days after Webb tested positive for gonorrhea, a preschool family member also tested positive for the sexually-transmitted disease, The Roys Report (TRR) previously reported.
» https://julieroys.com/former-missionary-webb-sentenced-for-sexual-abuse-four-year-old-who-got-std/?mc_cid=075af9a26c&mc_eid=25638efff7
» https://www.messengernews.net/news/local-news/2023/06/former-missionary-sentenced-to-25-years-for-sexual-abuse/
» https://www.bishop-accountability.org/2023/06/former-missionary-sentenced-25-years-for-abuse-of-4-year-old-who-got-std/

**▫️Pea Ridge man sentenced to prison for sexual assault
**PEA RIDGE, Ark. — According to The Pea Ridge Police Department (PRPD), Joshua Mumau, 41, has been sentenced to 40 years in prison for various sex crimes, along with aggravated assault and violation of a no-contact order. The PRPD says that ""many, many hours went into the investigation that revealed multiple juvenile victims and multiple occasions of sexual abuse by Mumau, who was first arrested on the charge of Sexual Assault on November 2nd, 2021.""
» https://www.5newsonline.com/article/news/crime/pea-ridge-man-sentenced-sex-crimes-against-minors/527-1234d860-12d8-448e-a8a3-4d553f096379
» https://katv.com/news/local/arkansas-rape-suspect-joshua-mumau-with-multiple-juvenile-victims-sentenced-to-40-years-in-prison-pea-ridge-police-department-prpd-department-corrections-adoc-crime-laboratory-lab-benton-county-circuit-court-bccc-jail-dna-halloween-facebook-sex-assault
_____________________
More Arrest Updates:
[HSI/ICE Newsroom Child Exploitation 
](https://www.ice.gov/newsroom?field_news_release_topics_tag_target_id=All&field_field_location_administrative_area=All&field_published_date_value%5Bmin%5D=&field_published_date_value%5Bmax%5D=&combine=Child+Exploitation&field_field_location_country_code=All)[FBI Arrests & Violent Crimes Against Children News
](https://www.fbi.gov/investigate/violent-crime/vcac/violent-crimes-against-children-news)[Department of Justice Press Room Human Trafficking News

](https://www.justice.gov/humantrafficking/press-room)- - - -N-E-E-D- -H-E-L-P-?- - -US:- - - - - - - - - - - - - - - - - - -
NCMEC Urgent victim help  24-Hour Hotline:  1-800-843-5678
NCMEC Cybertiplines: https://report.cybertip.org/
National Human Trafficking Hotline: 888-373-7888 or humantraffickinghotline.org
! Warning: multiple sources report the two helplines mentioned above are partially funded by questionable foundations !
HSI/ICE toll-free hotline: 1-866-DHS-2-ICE  | Anonymous toll-free ICE Tip Line: (866) 347-2423   |   Tip Form
U.S. Marshals Service:  USMS Tips app
DHS:  https://www.dhs.gov/blue-campaign/identify-victim
Get Help Now: Survivors Network of those Abused by Priests (SNAP) Toll-Free Phone: 1-877-SNAP-HEALS (1-877-762-7432)    or
https://www.snapnetwork.org/need_help_now
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
    @ENDHUMANTRAFFICKING"
9,-1001474635205,"(3/4)                                        
20 June 2023       U.S.             🇺🇸

**▫️HSI Douglas, Sierra Vista PD arrest 3 on child exploitation charges** | ICE
SIERRA VISTA, Ariz. — Special agents with Homeland Security Investigations (HSI) Douglas and detectives with Sierra Vista Police Department under the Arizona Internet Crimes Against Children Task Force arrested three people on the federal charge of sexual exploitation of children after separate investigations in Sierra Vista. 
https://www.ice.gov/news/releases/hsi-douglas-sierra-vista-pd-arrest-3-child-exploitation-charges

**▫️Quincy man arrested on predatory sexual assault of a victim under 13
**QUINCY - A 92-year-old Quincy man has been charged with predatory criminal sexual assault and aggravated criminal sexual abuse involving a victim under 13. Sgt. James Brown reported Monday that Lionel Surratt was arrested on June 16.
https://www.wgem.com/2023/06/19/quincy-man-arrested-predatory-sexual-assault-victim-under-13/

**▫️Florida Teams Bust Human Smugglers and Drug Traffickers With Over 230 Pounds of Drugs
**TALLAHASSEE, FLORIDA  – Governor Ron DeSantis announced that Florida teams have made contact with over 10,000 undocumented migrants and assisted the Texas Department of Public Safety with over 600 arrests including felony charges for human smuggling, drug paraphernalia, unlawful carrying of weapons, a suspect with a capital murder warrant, and an MS-13 gang member currently on the U.S. Terror Watch List.
» https://spacecoastdaily.com/2023/06/watch-gov-ron-desantis-provides-update-on-operation-lone-star-at-southern-border/
» https://www.tampafp.com/florida-teams-in-texas-make-contact-with-10000/

**▫️Laredo City Council to Raise Awareness Against Human Trafficking
**LAREDO, Tex. - According to the human trafficking courts organization, Texas has seen over more than 180 human traffic arrest in the last three years.
https://www.kgns.tv/2023/06/19/laredo-city-council-raise-awareness-against-human-trafficking/

    @ENDHUMANTRAFFICKING"
